Microsoft Corporation,Unnamed: 1,Unnamed: 2,Back to Main,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Segment Revenue and Operating Income,,,,,,,,,,,
(In millions),,,,,,,,,,,
,,,,,,,,,,,
Revenue,Q1-21,Q2-21,Q3-21,Q4-21,Fiscal Year 2021,,Q1-22,Q2-22,Q3-22,Q4-22,Fiscal Year 2022
Productivity and Business Processes,12319,13353,13552,14691,53915,,15039,15936,15789,,46764
Intelligent Cloud,12986,14601,15118,17375,60080,,16964,18327,19051,,54342
More Personal Computing,11849,15122,13036,14086,54093,,13314,17465,14520,,45299
  Total,37154,43076,41706,46152,168088,,45317,0,49360,,146405
,,,,,,,,,,,
,,,,,,,,,,,
Operating Income,Q1-21,Q2-21,Q3-21,Q4-21,Fiscal Year 2021,,Q1-22,Q2-22,Q3-22,Q4-22,Fiscal Year 2022
Productivity and Business Processes,5706,6181,6029,6435,24351,,7581,7688,7184,,22453
Intelligent Cloud,5422,6492,6425,7787,26126,,7562,8197,8281,,24040
More Personal Computing,4748,5224,4594,4873,19439,,5095,6362,4899,,16356
  Total,15876,17897,17048,19095,69916,,20238,0,20364,,62849
